,datetime,trans_per_min
70054,2024-06-10 10:00:00,32.875
70055,2024-06-10 11:00:00,9.05
70056,2024-06-10 12:00:00,53.5
70057,2024-06-10 13:00:00,13.966666666666667
70058,2024-06-10 14:00:00,21.733333333333334
70059,2024-06-10 15:00:00,13.4
70060,2024-06-10 16:00:00,54.61666666666667
70061,2024-06-10 17:00:00,30.366666666666667
70062,2024-06-10 18:00:00,48.733333333333334
70063,2024-06-10 19:00:00,8.75
70064,2024-06-10 20:00:00,14.116666666666667
70065,2024-06-10 21:00:00,7.25
70066,2024-06-10 22:00:00,22.633333333333333
70067,2024-06-10 23:00:00,22.566666666666666
70068,2024-06-11 00:00:00,24.666666666666664
70069,2024-06-11 01:00:00,11.466666666666667
70070,2024-06-11 02:00:00,21.633333333333333
70071,2024-06-11 03:00:00,9.65
70072,2024-06-11 04:00:00,21.066666666666666
70073,2024-06-11 05:00:00,9.6
70074,2024-06-11 06:00:00,15.450000000000001
70075,2024-06-11 07:00:00,9.383333333333333
70076,2024-06-11 08:00:00,30.0
70077,2024-06-11 09:00:00,2.9166666666666665
